# 操作物体统一参数表。target_size_m 的三个数对应模型本地 X/Y/Z 方向的目标真实尺寸，单位为米。
# collision_mode: mesh=单个 mesh 碰撞，box=单个 box 碰撞，convex_parts=按 collision_parts 分解为多个凸包碰撞。
# source_mesh 可以是项目内相对路径，也可以是绝对路径；body_pos/body_quat/body_euler_deg 保持场景中的初始位姿。
name,link,enabled,source_mesh,asset_file,target_size_m,mass_kg,collision_mode,collision_parts,seed,body_pos,body_quat,body_euler_deg,friction,solref,solimp,material_rgba,real_size_note
bottle,hunyuan_bottle_body,1,assets/scene_3dgs/nav_scene_1/meshes/hunyuan3d/bottle/bottle.glb,hunyuan3d/bottle/bottle.glb,0.066 0.066 0.235,0.20,mesh,1,7,0.0 1.2 0.1400000,0 1 0 0,,0.8 0.05 0.01,0.03 1,0.8 0.95 0.001,0.20 0.55 0.95 1,按常见 500ml 瓶子估计：直径约 6.6cm，高约 23.5cm。
lajitong,hunyuan_lajitong_body,1,assets/scene_3dgs/nav_scene_1/meshes/hunyuan3d/lajitong/lajitong.glb,hunyuan3d/lajitong/lajitong.glb,0.260 0.260 0.320,0.35,convex_parts,20,11,-0.45 1.2 0.258493105,0 1 0 0,,0.8 0.05 0.01,0.03 1,0.8 0.95 0.001,0.40 0.40 0.40 1,按小型桌面垃圾桶估计：直径约 26cm，高约 32cm。
bianzhidai,hunyuan_bianzhidai_body,1,assets/scene_3dgs/nav_scene_1/meshes/hunyuan3d/bianzhidai/bianzhidai.glb,hunyuan3d/bianzhidai/bianzhidai.glb,0.360 0.250 0.300,0.15,mesh,1,13,0.45 -1.2 0.303874049,0 1 0 0,,0.8 0.05 0.01,0.03 1,0.8 0.95 0.001,0.85 0.55 0.25 1,按小型编织袋/收纳袋估计：约 36cm x 25cm x 30cm。
bag,hunyuan_bag_convex_body,1,/home/dw/gs_playground/hunyuan3D/bag/287c09edd9d4025dc609b20e451bec13/5778521f0eabef128c97d8ba866f96c7.obj,hunyuan3d/bag/visual/5778521f0eabef128c97d8ba866f96c7.obj,0.400 0.200 0.360,0.25,convex_parts,20,7,0.72 0.0 0.005,,90 0 0,0.8 0.05 0.01,0.03 1,0.8 0.95 0.001,0.85 0.62 0.36 1,按中小型手提包/软包估计：约 40cm x 20cm x 36cm。
maojin,hunyuan_maojin_body,1,assets/scene_3dgs/nav_scene_1/meshes/hunyuan3d/maojin/maojin.glb,hunyuan3d/maojin/maojin.glb,0.200 0.200 0.008,0.06,box,1,17,0.720000 0.000000 0.420000,0 1 0 0,,0.9 0.05 0.01,0.03 1,0.8 0.95 0.001,0.72 0.72 0.68 1,按 20cm x 20cm x 8mm 的硬毛巾测试件设置。
yujin,hunyuan_yujin_body,1,/home/dw/gs_playground/hunyuan3D/yujin/fcebbcc667545a55fd8d6d9feb95f530.glb,hunyuan3d/yujin/yujin.glb,0.240 0.160 0.080,0.35,convex_parts,20,19,-0.720000 0.000000 0.000000,0 1 0 0,,0.9 0.05 0.01,0.045 1,0.72 0.95 0.001,0.74 0.78 0.82 1,按 24cm x 16cm x 8cm 的折叠浴巾实体设置；若要展开浴巾，应改为展开后的长宽并更换/重建模型。
